bus_id,date,odometer_reading,replacement
1334,1977-05-01,377,NA
1334,1977-06-01,1066,NA
1334,1977-07-01,2162,NA
1334,1977-08-01,2899,NA
1334,1977-09-01,3700,NA
1334,1977-10-01,4905,NA
1334,1977-11-01,5022,NA
1334,1977-12-01,5403,NA
1334,1978-01-01,5855,NA
1334,1978-02-01,6793,NA
1334,1978-03-01,7576,NA
1334,1978-04-01,8483,NA
1334,1978-05-01,8930,NA
1334,1978-06-01,9509,NA
1334,1978-07-01,9739,NA
1334,1978-08-01,9943,NA
1334,1978-09-01,10455,NA
1334,1978-10-01,10931,NA
1334,1978-11-01,11288,NA
1334,1978-12-01,11606,NA
1334,1979-01-01,12086,NA
1334,1979-02-01,12778,NA
1334,1979-03-01,13101,NA
1334,1979-04-01,13392,NA
1334,1979-05-01,13449,NA
1334,1979-06-01,13449,NA
1334,1979-07-01,13449,NA
1334,1979-08-01,13449,NA
1334,1979-09-01,13449,NA
1334,1979-10-01,13449,NA
1334,1979-11-01,13449,NA
1334,1979-12-01,13449,NA
1334,1980-01-01,13449,NA
1334,1980-02-01,13449,NA
1334,1980-03-01,13591,NA
1334,1980-04-01,13651,NA
1334,1980-05-01,13831,NA
1334,1980-06-01,13831,NA
1334,1980-07-01,13831,NA
1334,1980-08-01,13831,NA
1334,1980-09-01,13831,NA
1334,1980-10-01,13831,NA
1334,1980-11-01,13831,NA
1334,1980-12-01,13831,NA
1334,1981-01-01,13831,NA
1334,1981-02-01,13831,NA
1334,1981-03-01,13831,NA
1334,1981-04-01,13831,NA
1334,1981-05-01,13831,NA
1334,1981-06-01,13917,NA
1334,1981-07-01,14370,NA
1334,1981-08-01,14778,NA
1334,1981-09-01,15329,NA
1334,1981-10-01,16139,NA
1334,1981-11-01,17169,NA
1334,1981-12-01,18051,NA
1334,1982-01-01,19181,NA
1334,1982-02-01,20103,NA
1334,1982-03-01,21010,NA
1334,1982-04-01,22174,NA
1334,1982-05-01,22766,NA
1334,1982-06-01,23782,NA
1334,1982-07-01,24683,NA
1334,1982-08-01,25720,NA
1334,1982-09-01,26691,NA
1334,1982-10-01,27712,NA
1334,1982-11-01,28507,NA
1334,1982-12-01,29456,NA
1334,1983-01-01,30372,NA
1334,1983-02-01,31480,NA
1334,1983-03-01,31885,NA
1334,1983-04-01,31885,NA
1334,1983-05-01,31952,NA
1334,1983-06-01,32756,NA
1334,1983-07-01,32990,NA
1334,1983-08-01,32994,NA
1334,1983-09-01,32994,NA
1334,1983-10-01,33227,NA
1334,1983-11-01,33312,NA
1334,1983-12-01,33955,NA
1334,1984-01-01,34392,NA
1334,1984-02-01,34700,NA
1334,1984-03-01,35250,NA
1334,1984-04-01,35326,NA
1334,1984-05-01,35694,NA
1334,1984-06-01,36146,NA
1334,1984-07-01,36399,NA
1334,1984-08-01,36849,NA
1334,1984-09-01,37004,NA
1334,1984-10-01,37004,NA
1334,1984-11-01,37004,NA
1334,1984-12-01,37004,NA
1334,1985-01-01,37011,NA
1334,1985-02-01,37151,NA
1334,1985-03-01,37407,NA
1334,1985-04-01,37825,NA
1334,1985-05-01,38057,NA
1334,1985-06-01,38806,NA
1334,1985-07-01,39574,NA
1335,1977-05-01,484,NA
1335,1977-06-01,1154,NA
1335,1977-07-01,1741,NA
1335,1977-08-01,2495,NA
1335,1977-09-01,3279,NA
1335,1977-10-01,3977,NA
1335,1977-11-01,4472,NA
1335,1977-12-01,4790,NA
1335,1978-01-01,5600,NA
1335,1978-02-01,6033,NA
1335,1978-03-01,6742,NA
1335,1978-04-01,7860,NA
1335,1978-05-01,8379,NA
1335,1978-06-01,9203,NA
1335,1978-07-01,10159,NA
1335,1978-08-01,11049,NA
1335,1978-09-01,11866,NA
1335,1978-10-01,12712,NA
1335,1978-11-01,13794,NA
