bus_id,date,odometer_reading,replacement
2386,1981-07-01,2208,0
2386,1981-08-01,5418,0
2386,1981-09-01,8547,0
2386,1981-10-01,11566,0
2386,1981-11-01,15890,0
2386,1981-12-01,19434,0
2386,1982-01-01,23000,0
2386,1982-02-01,26282,0
2386,1982-03-01,30322,0
2386,1982-04-01,34604,0
2386,1982-05-01,36784,0
2386,1982-06-01,40160,0
2386,1982-07-01,43337,0
2386,1982-08-01,46509,0
2386,1982-09-01,50725,0
2386,1982-10-01,52691,0
2386,1982-11-01,55462,0
2386,1982-12-01,58783,0
2386,1983-01-01,61836,0
2386,1983-02-01,65962,0
2386,1983-03-01,68025,0
2386,1983-04-01,71889,0
2386,1983-05-01,75621,0
2386,1983-06-01,79345,0
2386,1983-07-01,83168,0
2386,1983-08-01,84875,0
2386,1983-09-01,88408,0
2386,1983-10-01,91674,0
2386,1983-11-01,93120,0
2386,1983-12-01,95787,0
2386,1984-01-01,97897,0
2386,1984-02-01,101050,0
2386,1984-03-01,104843,0
2386,1984-04-01,109452,0
2386,1984-05-01,113084,0
2386,1984-06-01,117360,0
2386,1984-07-01,121154,0
2386,1984-08-01,124959,0
2386,1984-09-01,129324,0
2386,1984-10-01,133099,0
2386,1984-11-01,136493,0
2386,1984-12-01,139512,0
2386,1985-01-01,140871,0
2386,1985-02-01,142747,0
2386,1985-03-01,145533,0
2386,1985-04-01,148197,0
2386,1985-05-01,149386,0
2386,1985-06-01,151441,0
2386,1985-07-01,153767,0
2387,1981-07-01,1976,0
2387,1981-08-01,5569,0
2387,1981-09-01,9928,0
2387,1981-10-01,13209,0
2387,1981-11-01,16522,0
2387,1981-12-01,20220,0
2387,1982-01-01,24035,0
2387,1982-02-01,26901,0
2387,1982-03-01,30469,0
2387,1982-04-01,34673,0
2387,1982-05-01,36876,0
2387,1982-06-01,40152,0
2387,1982-07-01,44054,0
2387,1982-08-01,47516,0
2387,1982-09-01,50254,0
2387,1982-10-01,52832,0
2387,1982-11-01,56421,0
2387,1982-12-01,57575,0
2387,1983-01-01,60233,0
2387,1983-02-01,63914,0
2387,1983-03-01,65689,0
2387,1983-04-01,69476,0
2387,1983-05-01,73288,0
2387,1983-06-01,76988,0
2387,1983-07-01,79926,0
2387,1983-08-01,83432,0
2387,1983-09-01,86329,0
2387,1983-10-01,90053,0
2387,1983-11-01,93010,0
2387,1983-12-01,97307,0
2387,1984-01-01,101068,0
2387,1984-02-01,103844,0
2387,1984-03-01,104989,0
2387,1984-04-01,108490,0
2387,1984-05-01,112097,0
2387,1984-06-01,115905,0
2387,1984-07-01,118178,0
2387,1984-08-01,121199,0
2387,1984-09-01,125413,0
2387,1984-10-01,128650,0
2387,1984-11-01,133058,0
2387,1984-12-01,136447,0
2387,1985-01-01,140778,0
2387,1985-02-01,143963,0
2387,1985-03-01,150465,0
2387,1985-04-01,152264,0
2387,1985-05-01,155275,0
2387,1985-06-01,158648,0
2387,1985-07-01,161748,0
2388,1981-07-01,2445,0
2388,1981-08-01,4893,0
2388,1981-09-01,7977,0
2388,1981-10-01,10335,0
2388,1981-11-01,14479,0
2388,1981-12-01,18696,0
2388,1982-01-01,23077,0
2388,1982-02-01,26209,0
2388,1982-03-01,30012,0
2388,1982-04-01,32593,0
2388,1982-05-01,34454,0
2388,1982-06-01,38768,0
2388,1982-07-01,41945,0
2388,1982-08-01,45725,0
2388,1982-09-01,49130,0
2388,1982-10-01,52536,0
2388,1982-11-01,53725,0
2388,1982-12-01,57050,0
2388,1983-01-01,61095,0
2388,1983-02-01,64716,0
2388,1983-03-01,67861,0
2388,1983-04-01,68828,0
2388,1983-05-01,71904,0
2388,1983-06-01,74096,0
2388,1983-07-01,77405,0
2388,1983-08-01,82007,0
2388,1983-09-01,84545,0
2388,1983-10-01,87338,0
2388,1983-11-01,90856,0
2388,1983-12-01,94403,0
2388,1984-01-01,98337,0
2388,1984-02-01,102364,0
2388,1984-03-01,106107,0
2388,1984-04-01,108195,0
2388,1984-05-01,110712,0
2388,1984-06-01,112143,0
2388,1984-07-01,115838,0
2388,1984-08-01,119697,0
2388,1984-09-01,121401,0
2388,1984-10-01,125177,0
2388,1984-11-01,127820,0
2388,1984-12-01,129933,0
2388,1985-01-01,132691,0
2388,1985-02-01,135919,0
2388,1985-03-01,138935,0
2388,1985-04-01,139956,0
2388,1985-05-01,142125,0
2388,1985-06-01,144834,0
2388,1985-07-01,147206,0
2389,1981-07-01,1743,0
2389,1981-08-01,4603,0
2389,1981-09-01,5895,0
2389,1981-10-01,9443,0
2389,1981-11-01,12556,0
2389,1981-12-01,15166,0
2389,1982-01-01,18400,0
2389,1982-02-01,20882,0
2389,1982-03-01,22634,0
2389,1982-04-01,26495,0
2389,1982-05-01,27095,0
2389,1982-06-01,29494,0
2389,1982-07-01,32406,0
2389,1982-08-01,35442,0
2389,1982-09-01,38560,0
2389,1982-10-01,41408,0
2389,1982-11-01,45614,0
2389,1982-12-01,49147,0
2389,1983-01-01,51631,0
2389,1983-02-01,54793,0
2389,1983-03-01,56566,0
2389,1983-04-01,59179,0
2389,1983-05-01,61623,0
2389,1983-06-01,64431,0
2389,1983-07-01,66319,0
2389,1983-08-01,69058,0
2389,1983-09-01,71444,0
2389,1983-10-01,74641,0
2389,1983-11-01,78026,0
2389,1983-12-01,80770,0
2389,1984-01-01,84167,0
2389,1984-02-01,85906,0
2389,1984-03-01,88826,0
2389,1984-04-01,96113,0
2389,1984-05-01,98402,0
2389,1984-06-01,101633,0
2389,1984-07-01,105332,0
2389,1984-08-01,108225,0
2389,1984-09-01,111493,0
2389,1984-10-01,114397,0
2389,1984-11-01,118541,0
2389,1984-12-01,123256,0
2389,1985-01-01,126303,0
2389,1985-02-01,130168,0
2389,1985-03-01,131540,0
2389,1985-04-01,134278,0
2389,1985-05-01,135206,0
2389,1985-06-01,138467,0
2389,1985-07-01,142009,0
